id,projectName,description,date,fundsLost,fundsReturned,chaindIds,category,issueType,token
3264,Silk Road,"<p><strong>Quick Summary</strong></p><p>Silk Road dark web market was exploited on 19 September 2012. 50,676 $BTC was seized from James Zhong by the U.S. Government after pleading a fraud.</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>Silk Road was an anonymous market running on the darknet since 2011 until the FBI shut down the website in 2013 and arrested Ross Ulbricht. The website was exploited by James Zhong for approximately 53,500 $BTC. Then the funds were distributed between multiple addresses and part of them were swapped to $BCH.&nbsp;</p><p><br></p><p><strong>Block Data Reference</strong></p><p>Attacker addresses:</p><p>https://www.blockchain.com/btc/address/1DwCny29uDhpmd8Mz4hKudwmrSGBdUvrtL</p><p>https://www.blockchain.com/btc/address/12hkgmdqps76Bp3e466c2DTGDfg8tKRGLM</p><p>https://www.blockchain.com/btc/address/1P1ik9HkCNSs7Zmgc3LzEN72X1Egwm9Chb</p>",2012-09-19,3360000000,3360000000,[],Other,Other,{'name': None}
2808,Mt. Gox (3),"<p><strong>Quick Summary</strong></p><p>One of the world's largest exchanges, Mt. Gox, declared bankruptcy in 2014 after being hacked, while losing most of its assets. At the time of bankruptcy, the exchange held 200k $BTC.</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>Mt. Gox was a bitcoin exchange based in Shibuya, Tokyo, Japan. Launched in 2010, it processed more than 70% of all Bitcoin (BTC) transactions worldwide by the beginning of 2014.</p><p>At the beginning of 2014, Mt Gox, a bitcoin exchange based in Japan, was the largest bitcoin exchange in the world, handling over 70% of all bitcoin transactions worldwide. By the end of February of that year, it was bankrupt.<br>Anyone who was using Mt. Gox lost access to their assets, and it has been a cautionary tale for crypto investors. While the assets weren’t all lost, anything that was left has been frozen for years.<br>The victim of a massive hack, Mt. Gox lost about 740,000 bitcoins (6% of all bitcoin in existence at the time), valued at the equivalent of €473 million at the time and over $3 billion at October 2017 prices. An additional $27 million was missing from the company’s bank accounts.</p><p><br></p><p><strong>Block Data Reference</strong></p><p>Attacker address:</p><p>https://www.blockchain.com/btc/address/1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF</p>",2014-02-24,473000000,0,[],CeFi,Other,{'name': None}
2939,MyCoin,"<p><strong>Quick Summary</strong></p><p>Hong Kong bitcoin exchange MyCoin was shot down, taking with it as much as HK$3bn ($386.9m) in investor funds.&nbsp;</p><p><strong><br>Details of the Exploit</strong></p><p>MyCoin promised its investors a return of 150% for a few months of locking up 90 Bitcoin at a price of HK$400,000 at the time.</p><p><br></p><p>30 people were claiming to be victims of the company's actions petitioned a local member of the Legislative Council, Leung Yiu-Chung.<br><br>Some reports stated the company never operated as a genuine bitcoin business at all. Testimonies from customers describe an operation more like a Ponzi scheme that used the veneer of bitcoin trading as its lure.<br><br>Customers were never presented with receipts and were led to deposit their newly-acquired coins at a separate site to earn interest.<br><br>MyCoin had promised that it would soon be listed on the Hong Kong stock exchange, and according to photos posted online, also operated a bitcoin ATM:<br>http://news.yibite.com/application/2015/0208/27667.shtml</p>",2015-02-09,387000000,0,[],CeFi,Rugpull,{'name': None}
3260,Trade Coin Club,"<p><strong>Quick Summary</strong></p><p>Trade Coin Club founders were running a Ponzi Scheme by conning investors for a fraudulent crypto trading bot. Roughly 295,000,000 $USD worth of $BTC was scammed.</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>Trade Coin Club is an investment company, which promises ""minimum returns of 0,35% daily"" by ""performing millions of microtransactions per second"". The company ran a Ponzi Scheme and actually had no trading bot. The funds from 100,000 worldwide investor's deposits were withdrawn directly by the four people to enrich themselves.&nbsp;</p>",2016-08-02,295000000,0,[],CeFi,Other,{'name': None}
2926,BTC-e,"<p><strong>Quick Summary</strong></p><p>The popular Russian bitcoin exchange BTC-e suddenly stopped working. On Twitter, it was written that the exchange is under ""server maintenance"".</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>BTC-E is now a closed online trading platform for fiat currencies and cryptocurrencies in real time, focused primarily on Russian—speaking users.</p><p>Compliance-as-a-service company Coinfirm discussed the BTC-e situation and the 66,000 Bitcoins moved.<br>According to Pawel Kuskowski, CEO &amp; Co-Founder at Coinfirm, right after the arrest of Alexander Vinnik, broadly referred to as the mastermind behind BTC-e, over 66,000 BTC were moved from 18f1yugoAJuXcHAbsuRVLQC9TezJ6iVRLp across the Bitcoin ecosystem.<br>Founded in 2011, BTC-e was one of the world's largest and most widely used digital currency exchanges. Cybercriminals around the world used it to launder and liquidate illegally obtained digital currencies, according to the U.S. indictment.<br>The exchange had no anti-money laundering controls or policies and was found to have received criminal proceeds of ransomware attacks, identity theft schemes, computer breaches and other hacking incidents, as well as corrupt public officials and narcotics distribution rings, according to the indictment. Between 2011 and December 2016, bitcoin addresses and digital wallets associated with BTC-e received over 9.4 million bitcoins, according to the federal indictment.</p>",2017-07-26,181000000,0,[],CeFi,Rugpull,{'name': None}
2924,Control Finance,"<p><strong>Quick Summary</strong></p><p>A massive Ponzi scheme was revealed on the Bitcoin chain. Control Finance was fraudulently promoted as a cryptocurrency investment company.</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>The regulator filed an enforcement action complaint against the United Kingdom-based company and its director for “fraudulently obtaining and misappropriating” at least 22,858.822 &nbsp;Bitcoin, then worth $147 million. Per the complaint, the scam has victimized over 1,000 customers.<br><br>The allegedly fraudulent entity claimed that the investors would receive daily trading profits of 1.5 percent and up to 45 percent in monthly profits. It also claimed to have used risk diversification methods to protect customers’ Bitcoin deposits.<br><br>However, the US regulator found out that the company did not make a single trade with the collected funds. To deceive the victims, it projected fake balances on their accounts and also published reports with false data.</p>",2017-09-10,147000000,0,[],CeFi,Rugpull,{'name': None}
2921,Parity,"<p><strong>Quick Summary</strong></p><p>513,000 $ETH has been locked and maintained unreachable on Parity contracts after the user accidentally killed it.</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>On November 6th, 2017, Github user devops199 posted the following statement under the Github issues section of the Parity Multi-Sig Library: “I accidentally killed it”:<br>https://github.com/openethereum/parity-ethereum/issues/6995<br><br>Just moments earlier, devops199 exploited a vulnerability within the smart-contract library code, blocking funds in 587 wallets holding a total of 513,774.16 Ether as well as various other tokens.<br><br>On November 6th, the transaction was sent to WalletLibrary, which called the <u>initWallet</u> method:<br>https://etherscan.io/tx/0x05f71e1b2cb4f03e547739db15d080fd30c989eda04d37ce6264c5686e0722c9<br><br>This transaction ended up making the 0xae7168deb525862f4fee37d987a971b385b96952 the sole owner. The transaction, which called the <u>kill</u> method of <u>WalletLibrary</u> with 0xae7168deb525862f4fee37d987a971b385b96952 as the beneficiary address:<br>https://etherscan.io/tx/0x47f7cff7a5e671884629c93b368cb18f58a993f4b19c2a53a8662e3f1482f690<br><br>Approximately 30 minutes later, Devops199 created Parity issue #6995 to document what had just occurred:<br>https://github.com/openethereum/parity-ethereum/issues/6995<br><br>Devops199 posted a link to the issue in the Parity gitter channel, asking “Is this serious issue?” He then followed up by asking “Will I get arrested for this?”. It seemed as though Devops199 failed to understand the consequences of what he had done, by stating “I’m eth newbie..just learning”.</p><p><br>About three hours later, Parity released a warning on Twitter:<br>https://twitter.com/ParityTech/status/927850992145719296</p>",2017-11-08,155000000,0,[1],Other,Other,{'name': None}
2735,BitConnect,"<p><strong>Quick Summary</strong></p><p>BitConnect was a Ponzi Scheme that managed to raise approx. $2 billion dollars from investors before it collapsed.</p><p><strong><br>Details of the Exploit</strong></p><p>BitConnect is a crypto lending platform, which claimed it used a trading bot for earning interest.<br><br>In fact, BitConnect was suspected of being a Ponzi scheme because of its multilevel marketing structure and impossibly high payouts (1% daily compounded interest). BitConnect interest fluctuated greatly with the volatility of Bitcoin, which its value was tied to.<br><br>The BitConnect Coin was among the world's top 20 most successful cryptocurrency tokens until its price collapsed after traders began losing confidence. BCC rose from a post ICO price of $0.17 to an all-time high of US$463 in December 2017; it declined to US$0.40 as of March 11, 2019. BitConnect released outstanding loans at a rate of US$363.62 to the BitConnect Wallet in form of BCC. However, soon after that news the internal exchange price and liquidity collapsed resulting in a nearly complete loss of value. Prosecutors managed to seize crypto assets worth $57 million from Arcaro, BitConnect's biggest partner in North America.</p>",2018-01-15,2000000000,56000000,[],"Borrowing and Lending,CeFi",Rugpull,{'name': 'BCC'}
2643,Coincheck,"<p><strong>Quick Summary</strong></p><p>On Jan. 26, about 523 million NEM (XEM) tokens, valued at over $530 million at the time, were illicitly transferred from its hot wallet address, resulting in an anomalous drop in the Japanese exchange's balance.</p><p><strong><br>Details of the Exploit</strong><br>The attack was made possible by the company's technological issues and staff scarcity, which resulted in inadequate security measures. The stolen NEM were held on an internet-connected hot wallet rather than an offline cold wallet.<br><br>Coincheck utilized its own funds to compensate all 260,000 impacted clients:<br>https://www.ft.com/content/6a761a60-2694-11e8-b27e-cc62a39d57a0</p><p><br></p><p><strong>Block Data Reference</strong></p><p>Attacker address:</p><p>https://explorer.nemtool.com/#/s_account?account=NC4C6PSUW5CLTDT5SXAGJDQJGZNESKFK5MCN77OG</p><p><br></p><p>Malicious transaction example:</p><p>https://explorer.nemtool.com/#/s_tx?hash=c2921d538a6192bf35e0bb49cefcf6aa8e19acb3fef08f70f5b6b977d9d50aee</p>",2018-01-26,534000000,534000000,[],CeFi,Other,{'name': None}
2652,BitGrail,"<p><strong>Quick Summary</strong></p><p>The BitGrail Operator may have hacked own crypto exchange to steal 120,000,000 $USD</p><p><br></p><p><strong>Details of the Exploit</strong></p><p>The exchange was attacked by hackers in January-February 2018, as a result, 17 million Nano (NANO) tokens were stolen, worth between $146 million. Italian police have alleged a 34-year-old man from Florence, known as FF, is thought to be behind the theft from the exchange, which saw the company collapse into bankruptcy with significant losses for its users.<br><br>230,000 account holders at BitGrail were affected in the attack, which honed in on the platform’s reserves of Nano cryptocurrency. FF is thought to have been responsible, or to have taken no action to prevent the attack and the losses which resulted from it.</p>",2018-02-10,146000000,0,[],CeFi,Other,{'name': None}
